y_coord,x_coord
0,221
0,434
1,221
1,434
2,221
2,434
3,221
3,434
4,221
4,434
5,221
5,434
6,222
6,434
7,222
7,223
7,224
7,434
8,225
8,434
9,225
9,434
10,225
10,434
11,224
11,434
12,224
12,433
13,224
13,432
13,433
14,223
14,430
14,431
15,223
15,430
16,222
16,429
17,222
17,429
18,222
18,428
19,222
19,428
20,222
20,428
21,222
21,428
22,222
22,428
23,222
23,428
24,222
24,428
25,222
25,428
26,222
26,428
27,222
27,428
28,222
28,429
29,222
29,429
29,430
30,223
30,430
31,223
31,431
32,223
32,431
32,432
33,223
33,432
34,223
34,432
35,223
35,432
36,223
36,432
37,223
37,432
38,223
38,432
39,223
39,432
40,223
40,432
41,223
41,432
42,224
42,432
43,224
43,432
44,224
44,432
45,224
45,432
46,225
46,433
46,434
46,435
46,436
47,225
47,437
48,225
48,437
49,225
49,437
50,225
50,438
51,225
51,438
52,225
52,438
53,225
53,438
54,225
54,438
55,225
55,438
56,225
56,438
57,225
57,438
58,225
58,439
59,225
59,439
60,224
60,440
61,224
61,440
62,223
62,224
62,440
63,222
63,223
63,440
64,220
64,221
64,440
65,220
65,440
66,219
66,440
67,219
67,440
68,218
68,440
69,218
69,440
70,218
70,440
71,218
71,440
72,218
72,440
73,218
73,440
74,218
74,440
75,216
75,217
75,441
76,216
76,442
77,215
77,442
78,215
78,443
79,215
79,443
80,215
80,443
81,215
81,443
82,215
82,443
83,214
83,443
84,214
84,443
85,214
85,443
86,214
86,443
87,213
87,443
88,213
88,443
89,213
89,443
90,212
90,213
90,443
91,211
91,212
91,444
92,210
92,211
92,444
92,445
93,210
93,445
93,446
93,447
93,448
93,449
93,450
93,451
93,452
94,209
94,453
95,209
95,454
96,208
96,209
96,454
96,455
97,205
97,206
97,207
97,455
98,204
98,455
99,203
99,455
100,203
100,456
100,457
100,458
100,459
100,460
101,203
101,461
101,462
102,203
102,462
102,463
103,203
103,463
104,203
104,463
105,203
105,463
106,203
106,463
107,203
107,463
108,203
108,464
109,202
109,464
110,202
110,465
111,201
111,465
112,201
112,466
113,200
113,201
113,466
114,198
114,199
114,467
114,468
114,469
114,470
114,471
114,472
114,473
114,474
114,475
114,476
115,196
115,197
115,477
115,478
116,194
116,195
116,478
116,479
117,191
117,192
117,193
117,480
117,481
118,189
118,190
118,481
119,187
119,188
119,481
120,186
120,187
120,481
121,185
121,186
121,481
122,184
122,481
123,183
123,481
124,183
124,481
125,182
125,482
125,483
125,484
125,485
125,486
125,487
125,488
125,489
125,490
125,491
125,492
126,181
126,182
126,493
127,176
127,177
127,178
127,179
127,180
127,494
128,174
128,175
128,494
128,495
128,496
128,497
129,173
129,498
130,172
130,498
131,172
131,498
132,166
132,167
132,168
132,169
132,170
132,171
132,172
132,498
133,164
133,165
133,498
134,163
134,164
134,498
135,163
135,498
136,162
136,498
137,162
137,499
138,158
138,159
138,160
138,161
138,162
138,499
138,500
139,157
139,500
140,156
140,501
141,156
141,501
141,502
142,156
142,502
142,503
142,504
142,505
142,506
142,507
142,508
142,509
142,510
142,511
143,155
143,156
144,153
144,154
145,153
146,144
146,145
146,146
146,147
146,148
146,149
146,150
146,151
146,152
147,142
147,143
148,141
149,135
149,136
149,137
149,138
149,139
149,140
150,133
150,134
151,132
151,133
152,131
152,132
153,131
154,130
155,129
155,130
156,128
156,129
157,126
157,127
157,128
158,124
158,125
159,122
159,123
160,121
160,122
161,120
161,121
162,119
162,120
163,113
163,114
163,115
163,116
163,117
163,118
163,119
164,112
165,111
166,111
167,110
168,110
169,110
170,109
170,110
171,108
171,109
172,107
172,108
173,96
173,97
173,98
173,99
173,100
173,101
173,102
