x,y,z,name
-73.27,42.298,0,S01
-73.26,-42.292,0,S07
6.98,84.591,0,S37
6.98,-12.079,0,S43
6.983,-84.588,0,S47
69.78,-48.339,0,S69
73.25,42.298,0,S74
